District/Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968
Gurdaspur,0,0,0,0,0.1,0,0,0,0,0,0,(a),0,(a),(a),(a),(a),(a),(a),(a),(a),(c) ,(a),(a),0,0.1,0.2,0.2,0.3,0.2,0.3,0.3,0,0.4,0.5,0.5,0.4,0.4,0.5,1.1,1.2,1.5,1.2,1.7,2.4,2.4,4.5,5.8,5.2,4.5,5.9,6,8.1,8.1,11
Pathankot,0,0.1,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amritsar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(a),(a),0,(c) ,0,(a),(a),0,(a),(a),(a),(a),0.1,0,(a),0,0.1,0.1,0.1,0.2,0.2,0.3,0.5,0.8,0.8,0.7,1.1,2.1,2.6,4.1,4.9,2.9,1.6,1.4,1.4,2,4.5,6
Tarn Taran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(a),(c) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapurthala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(a),(c) ,(a),(a),0,0,0,(a),(a),0,(a),(a),(a),(a),(a),0.1,(a),0,0.1,(a),0.1,0.1,(a),@,0.2,0.2,0.2,0.1,0.3,0.3,0.5,1,1.1,0.5,0.5,0.3,0.5,0.6,0.6,1
Jalandhar,0,0,0,0.1,0,0,0,0,0,0,0,0,0,(a),(a),(a),0,(a),(a),(c),(c) ,(c) ,(a),(a),0,(a),(a),0.1,0.1,0.1,(a),(a),0,(a),0.1,0.2,0.1,0.1,0.1,0.1,(a),0.1,0.1,0.2,0.2,0.3,0.6,0.9,0.4,0,0.2,0.2,0.5,1,1
SBS Nagar,0,0,0,0,0,0,0,0,0,0,0,(a),0,(a),(a),(a),(c) ,(a),(a),(c),(c) ,(c) ,(a),(a),0,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoshiarpur,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,(a),(a),0,(c) ,(c) ,(a),0,0,(a),(a),(a),(a),(a),(a),(a),0,(a),(a),0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.2,0.2,0.4,0.9,0.6,0,0.2,0.2,0.3,0.5,1
Rupnagar,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,(a),0,(a),0,(a),(a),(a),(a),(a),(a),(a),(a),1,1,0.4,1,1.4,1,0.7,1.3,1.14,1.4,1.4,2,1.9,1.9,1.4,1.9,3.2,3,1.9,1.2,1.3,1.6,1.9,2.7,3.7,1.5,0.8,0.6,0.5,0.7,0.7,1
SAS Nagar,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0.1,(a),0,0,(a),(a),(a),(a),NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ludhiana,0.9,1.1,1.1,1.2,1.4,1.3,1,1,1,2,0,1,2,2,2,2,2,2,2,3,2,3,3,3,3,2.6,2.8,2.7,2.5,3,3.5,2.5,2.6,3.1,3.7,3.3,4.2,4,3.5,4.4,5.1,4.8,3.6,3.3,3.4,3.4,6.4,14.5,8.2,2.7,2,2.1,2.7,3.8,9
Ferozepur,0,0,0,0,0,0,0,0,0,0,1,3,4,5,4,5,4,4,4,4,3,6,4,4,4,3.6,4.5,6,4.1,5,5.4,4.2,4.1,9.6,3.8,3.9,4,4.8,7.1,9.4,9.9,5.6,4.3,5.4,7.6,12.8,25,31.7,29.7,17.8,24.3,29.5,34,38.7,63
Fazilka,0.8,0.9,1.1,1.2,1.3,1.5,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faridkot,0.1,0.1,0,0.1,0.1,0,0,0,0,0,0,(a),0,0,(a),(a),(a),(a),1,1,(a),1,1,1,1,1.7,1.4,12.6,10,9.2,11.4,10.2,10.3,11.9,8.8,9.1,11.1,11.7,12.8,18,20.8,12.2,7.8,7.3,8.7,12.3,23.8,31.2,18.7,11.1,NA,NA,NA,NA,NA
Sri Muktsar Sahib,0.2,0.2,0.2,0.3,0.4,0.5,1,1,1,1,0.1,1,1,1,2,2,2,3,3,3,3,4,5,5,7,7,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moga,0.2,0.3,0.4,0.3,0.3,0.3,0,0,0,0,0,(a),0,1,(a),1,1,1,1,1,1,1,1,1,1,1,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bathinda,0.6,0.6,0.6,0.7,0.9,1.2,1,1,2,2,0.2,2,2,2,2,2,2,3,3,3,3,5,4,5,5,5.6,6.2,7.8,7,8.1,15.5,9.5,10.8,12.4,8.8,9.1,13.4,13,19.8,24.4,23,16.6,12,6,5.9,7.4,18.2,32.3,13.8,4.9,5.1,6.3,9.6,11.1,17
Mansa,0.3,0.3,0.3,0.3,0.5,0.5,1,1,1,1,0.1,1,1,1,1,2,2,2,2,2,2,3,3,4,4,3,3.4,3.9,3.8,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sangrur,0.9,1.2,1.4,1.5,1.5,1.6,2,2,2,2,0.1,2,2,2,3,3,5,5,4,6,6,6,7,6,8,6.2,6.9,7,5.2,8.8,10,6.4,6.9,7.7,7.7,7.5,10,9.3,9.1,12.8,16.5,13,10.7,8.4,10,11.8,23.1,37.2,18.6,7.3,4.9,5.7,7.3,11.5,25
Barnala,0.3,0.3,0.3,0.3,0.3,0.4,0,1,1,1,0.1,1,1,1,1,1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patiala,0.3,0.3,0.3,0.4,0.5,0.5,1,1,1,0,0,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,4.4,1.5,1.3,1.9,2,1.9,2.5,2.8,3.2,3.7,4.3,3.7,4.4,7.1,7.4,8.4,5.1,5.1,4.9,4.9,10.7,24.9,9.6,4.2,3.5,4.1,4.7,8.6,14
Fatehgarh Sahib,0.2,0.3,0.3,0.3,0.3,0.3,0,1,0,0,0,(a),0,(a),(a),(a),0,1,1,1,1,1,1,1,1,1,0.1,0.5,0.5,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,5.0,5.9,6.2,6.9,7.8,8.3,9,11,12,13,1.8,12,14,16,16,19,19,22,23,33,23,32,31,32,37,34.3,35.2,43.7,35.8,42.5,49.5,36.1,38.6,49.5,38.7,39.5,49.8,48.7,59.6,81.4,88,65.3,46.9,40.2,47.3,60.5,120.5,189.1,109.7,55.4,48.4,56.5,70.5,89.1,149
