District/Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968
Gurdaspur,174.6,174.4,174,172,176,175,175,173,173,201,201,204,204,201,191,201,190,202,193,189,194,191,198,187,182,186,191,190,185,182,175,173,171,166,155,161,152,148,138,135,136,141,137,136,127,113,95,93,85,82,82,80,75,79,73
Pathankot,27.6,28.6,28,28,28,28,28,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amritsar,183,184.7,181,180,180,180,181,182,182,183,184,186,185,183,178,178,179,334,326,311,319,319,318,305,292,289,304,298,289,287,284,279,274,257,229,242,231,217,207,193,198,197,187,182,151,124,112,105,124,93,96,89,80,73,70
Tarn Taran,182.3,184.7,184,186,182,186,178,176,177,178,173,172,172,169,171,173,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapurthala,119.2,117.7,120,118,118,118,117,117,117,117,118,118,115,114,110,110,108,105,104,102,105,103,100,99,100,95,102,101,102,97,97,97,94,96,86,86,82,77,73,70,70,66,66,53,48,40,31,30,29,28,29,28,24,24,21
Jalandhar,174.7,175.1,175,173,171,170,167,167,167,165,165,163,161,155,149,147,151,145,138,133,132,136,133,134,125,118,112,167,160,154,157,158,150,140,129,165,124,109,103,93,92,88,80,73,52,39,31,36,27,29,24,14,12,12,9
SBS Nagar,60.9,61.9,60,60,60,60,59,57,56,56,57,58,56,52,50,53,49,50,47,43,45,47,46,46,43,41,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoshiarpur,76.7,79.4,78,75,75,74,69,71,70,70,74,73,70,60,56,56,61,58,58,56,60,63,61,58,56,52,57,58,53,56,58,65,64,54,48,51,48,48,42,44,41,45,45,43,38,41,35,34,37,40,37,31,30,29,27
Rupnagar,41,40.3,41,41,40,38,37,36,37,38,38,38,38,36,33,38,37,51,51,44,51,49,50,46,43,40,39,38,37,36,37,36,31,28,27,30,28,26,24,21,21,22,17,15,12,8,9,7,8,8,5,5,5,6,6
SAS Nagar,32.2,27.7,29,31,31,31,31,29,27,31,32,37,30,27,29,29,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ludhiana,258.7,258.6,259,259,257,259,257,257,257,257,257,257,257,254,250,248,250,247,241,236,235,238,237,241,234,227,230,244,233,226,231,225,210,187,186,188,182,171,162,133,110,94,91,66,47,24,15,19,11,12,8,5,4,3,3
Ferozepur,187.8,189.3,191,186,185,187,187,189,183,267,257,258,262,260,243,235,236,238,244,234,230,248,280,275,252,227,233,242,221,231,233,230,213,227,222,221,212,204,191,175,177,162,158,154,130,106,94,84,74,65,75,64,59,55,4
Fazilka,113.1,116.1,114,114,109,111,104,97,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
