District/Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968
Gurdaspur,24896,24889,24876,24856,24332,24332,24312,23285,23124,22814,23418,23416,23219,23215,20556,20908,19642,24502,22944,27861,21370,21040,20096,17885,15381,21011,20586,20486,19064,18752,25643,20700,18732,22000,18000,NA,NA,NA,19500,19000,18667,18226,18184,19600,17900,18000,16393,16429,12000,10865,9522,8609,8000,8513,10781
Pathankot,26376,26367,26357,26106,26642,26642,26632,23174,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amritsar,26122,26116,26106,26086,26015,26015,26003,25503,25464,25462,25459,24456,25444,25440,24700,20025,23040,22526,22872,18534,17070,18278,19500,17809,17835,15320,17789,21332,19238,17685,21887,18796,19212,24508,19000,NA,NA,21000,21000,20500,21000,21212,19758,21778,19150,19000,21689,15833,16000,14000,14000,13500,12000,13000,14000
Tarn Taran,24896,25466,25456,25436,25422,25422,25412,24177,24154,24144,24124,24116,23475,23474,18701,21099,23040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapurthala,27252,27246,24237,26779,25962,25962,25959,25466,25428,25424,25421,25418,26097,22450,20978,21109,14384,21340,18794,20612,20587,21972,21655,19804,15851,14606,18089,19084,17860,21341,17916,15924,13180,24000,20000,NA,NA,20000,20000,20000,19833,20000,18068,19334,21030,22000,18673,15000,13000,12807,11988,11000,11400,10982,11470
Jalandhar,28006,28064,27733,27229,26335,26335,26329,25854,25814,25805,25848,25840,27245,25814,20254,13062,16361,21737,20004,19840,19628,18407,19874,18667,14142,17350,19835,19822,18934,17309,19846,19995,23917,22026,19000,NA,NA,19000,18300,18000,18500,20000,17587,18080,21030,21455,17934,16970,14500,14984,14964,14986,14978,14997,15548
SBS Nagar,27754,27748,25736,25696,25499,25499,25489,22546,24528,24534,24522,24519,24486,24485,16796,13465,16440,15413,13943,14160,14139,17150,18293,14995,14092,17350,19835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoshiarpur,27896,27886,27781,26266,25283,25283,25277,24604,24584,24474,24464,24460,24056,22814,13967,13673,13092,15018,13183,16183,16137,16897,17752,16480,14048,16048,18562,17361,16309,14015,16461,15191,15713,16658,19000,NA,NA,19500,19000,18000,17804,17500,16242,19743,17100,20250,17178,13846,13000,9952,11987,10998,9847,9973,15368
Rupnagar,24016,24012,24006,23966,23945,23945,23935,23444,23432,23424,23484,23474,22453,22450,19496,20141,18219,21736,21106,21942,23774,20257,20380,19933,10679,22628,23024,21935,19572,20649,22652,NA6886,25256,21000,21000,NA,NA,20000,21500,20000,21000,21400,21359,19230,22480,25667,25694,16250,12500,11985,12990,13000,14056,14000,10496
SAS Nagar,26516,26500,24986,24966,24955,24955,24945,24476,24424,24414,24316,24310,24283,24281,20140,21878,18219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
