District/Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,
Gurdaspur,2.5,2,2,2.2,2.2,2.5,2.6,2.7,2.7,2.3,2.2,3.5,2.3,2.3,2.7,2.8,2.8,3,3.2,3.6,2.9,3.8,4.6,0.4,2.2,2.4,0.5,3.5,3.3,3.1,2.6,2.6,2.5,3.1,2,2.3,2.7,2.5,2.8,2.4,2.8,2.7,2.7,3.4,2.4,2.1,2.1,2.1,2.1,1.8,1.8,1.4,1.8,1.2,1.8,
Pathankot,3.8,0,0,0,3.1,1.4,1.2,1.2,1.2,1.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Amritsar,5.1,0,5.1,4.9,5.7,6.5,7.8,11.1,11.1,8,6.1,9.5,7.6,7.6,15,4.8,6.5,14.2,12.1,16.6,10.8,15,15.9,4,6.5,6.6,2.7,12.9,9.1,7.5,10.4,6.5,12.4,2.7,12.3,8.7,10.4,10.4,13.2,9.2,12.1,12.1,10.1,11.5,9.8,11.6,10.8,9.1,10.2,9.7,9.6,8.6,7.5,10.7,12.5,
Tarn Taran,0.3,1.7,(a),0,0.1,2,3.2,3.3,3.3,2.2,2.3,2.7,2.4,2.4,3.1,3.6,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Kapurthala,6.8,7.7,7.3,20.8,20.8,21.2,16.9,21,21,20,5.6,19.5,19,19,21.7,22.8,18.9,14.2,13.3,14.1,12.8,11.8,14,10.1,2.8,5.8,8.4,6.7,1.8,1.6,4.4,4.5,3.7,2.1,3.5,2.7,3,3.2,1.9,2,1.9,3,2.7,3,2.3,2.4,1.8,2.1,2.3,1.5,1.9,2,1.8,1.9,3,
Jalandhar,0,2.2,1.9,20.9,20.9,22.2,26.6,19.4,19.4,24.7,4.2,9.4,22.2,22.2,25.3,23.2,25,23.1,21.3,21.3,16.6,19.7,25.8,22.2,0,6.8,10.3,14.2,4.1,5.1,4.9,16,14.1,10.9,16.6,33.9,18.4,19,17.5,17,19,20.9,22.6,26.9,21.6,19.1,14.2,15.1,12.9,11.5,10.8,9.3,8.8,9.6,9.8,
SBS Nagar,4.9,0.9,4.9,4.9,4.9,5.1,2.9,6.9,6.9,5.5,2.5,6,6.7,6.7,4.9,4.4,3.7,4,3.5,3.6,3.3,2.9,2.5,1.5,2.8,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Hoshiarpur,6.7,0,6.7,6.7,6.7,6.6,6.7,7,7,6.4,6.9,6,11.9,11.9,12.3,12.1,13.9,14.4,13.2,12.4,13,16,14.7,11.4,5.1,8.3,8.1,8.2,3.2,3.7,3.8,9.8,10.9,10.2,11.9,10.3,22.8,11.2,11.5,11.2,11.3,11.5,14.5,18.6,11.9,9.6,9.6,2.3,6.7,6.5,5.3,6.6,6.9,5.2,5.7,
Rupnagar,0.5,1.6,0.5,0.7,0.7,1.1,0.9,0.9,0.9,0.6,0.6,0.7,1,1,1,1.2,2.2,4.9,3.7,4.9,1.9,2.2,5.1,1.3,1.3,1.7,0.5,1.9,1.4,1.5,1.1,2,2,2.4,2.4,2.5,2.9,3,3.3,3.1,2.2,3.7,3.2,3.7,5.3,4.8,3.9,4.5,3.2,2.8,2.8,3,2.5,3.1,3.5,
SAS Nagar,0,0,4.6,4.6,4.6,2.5,4.1,4,4,5,1.5,2.9,8.3,8.3,3.8,2.3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
